"","Player","PER","G"
"709","Daniel Gibson",11.1,31
"710","Quinton Ross",11.1,12
"711","Dave Corzine",11.1,35
"712","Eric Williams",11.09,26
"713","James Edwards",11.08,91
"714","Alvin Williams",11.07,12
"715","Dahntay Jones",11.06,16
"716","Gerald Henderson",11.04,62
"717","Freddie Crawford",11.03,25
"718","Kyle Korver",11,105
"719","Charles Johnson",11,69
"720","Quincy Pondexter",10.99,15
"721","Jason Williams",10.97,23
"722","Hedo Turkoglu",10.96,66
"723","Rudy Tomjanovich",10.96,20
"724","Corey Brewer",10.96,17
"725","Haywoode Workman",10.94,33
"726","Wesley Matthews",10.94,27
"727","Brian Shaw",10.93,111
"728","Larry Steele",10.93,18
"729","Allen Crabbe",10.92,11
"730","Harrison Barnes",10.9,57
"731","Winston Garland",10.9,20
"732","Rory Sparrow",10.87,18
"733","Bob Wilkerson",10.85,13
"734","Jim Paxson",10.82,16
"735","Jeff Green",10.81,41
"736","Devean George",10.77,52
"737","Chris Ford",10.75,35
"738","Kevin Grevey",10.74,49
"739","Andre Roberson",10.74,18
"740","Bojan Bogdanovic",10.73,26
"741","Dennis Awtrey",10.72,26
"742","J.J. Redick",10.71,74
"743","Pete Chilcutt",10.71,20
"744","C.J. Watson",10.71,19
"745","O.J. Mayo",10.7,13
"746","Cuttino Mobley",10.7,17
"747","Ervin Johnson",10.68,54
"748","Justise Winslow",10.68,13
"749","Mike Riordan",10.67,48
"750","Marcus Morris",10.67,19
"751","Evan Turner",10.66,19
"752","Reggie Evans",10.65,18
"753","Rick Fox",10.64,71
"754","Chuck Person",10.64,25
"755","Leroy Ellis",10.64,38
"756","Chucky Brown",10.64,21
"757","Aaron Williams",10.63,39
"758","David Wingate",10.62,10
"759","Don Ford",10.62,11
"760","Tal Skinner",10.62,9
"761","Lionel Hollins",10.61,59
"762","J.R. Reid",10.58,25
"763","Vincent Askew",10.57,19
"764","Mark Eaton",10.56,47
"765","Patrick Patterson",10.55,20
"766","Luc Longley",10.52,65
"767","Eduardo Najera",10.52,19
"768","Gary Neal",10.52,35
"769","Stacey Augmon",10.51,21
"770","Bill Hanzlik",10.51,34
"771","Jordan Farmar",10.51,64
"772","Herm Gilliam",10.5,18
"773","Eric Snow",10.48,75
"774","Chucky Atkins",10.48,27
"775","Kevin Loughery",10.47,27
"776","Greg Anthony",10.47,80
"777","Jim Petersen",10.45,20
"778","Dell Curry",10.45,9
"779","Doug Christie",10.44,48
"780","Louis Orr",10.44,12
"781","Jared Jeffries",10.38,16
"782","Tom Sanders",10.37,90
"783","Dave Greenwood",10.37,6
"784","Clint Richardson",10.37,47
"785","Jim Brewer",10.36,13
"786","Willie Anderson",10.36,20
"787","Mike Miller",10.36,58
"788","Caldwell Jones",10.35,93
"789","Don Chaney",10.34,63
"790","Billy Paultz",10.34,34
"791","Jason Caffey",10.34,18
"792","P.J. Tucker",10.31,27
"793","Clyde Lee",10.31,21
"794","Oliver Miller",10.29,24
"795","Tom Gola",10.29,18
"796","Courtney Lee",10.27,46
"797","Blue Edwards",10.27,25
"798","Alvin Scott",10.26,15
"799","David Benoit",10.25,43
"800","Dick Van Arsdale",10.23,26
"801","Clifford Robinson",10.23,94
"802","Chris Childs",10.23,68
"803","Mason Plumlee",10.23,11
"804","Jay Vincent",10.22,20
"805","Ricky Davis",10.21,7
"806","Keyon Dooling",10.2,35
"807","Henry Bibby",10.15,56
"808","Reggie Williams",10.1,12
